# time                    log_evidence              dlog_evidence
-9.000000000000000000e+00 -1.240562403065724066e+06 9.629564304968835087e-02
-8.000000000000000000e+00 -1.240564415294486098e+06 9.591837350986688604e-02
-7.000000000000000000e+00 -1.240565013059875462e+06 9.689314096512692542e-02
-6.000000000000000000e+00 -1.240564926823568763e+06 9.652269233403669435e-02
-5.000000000000000000e+00 -1.240567385114173405e+06 9.591841508769548275e-02
-4.000000000000000000e+00 -1.240569951807847479e+06 9.556117462436646004e-02
-3.000000000000000000e+00 -1.240569907053365838e+06 9.377869073744009298e-02
-2.000000000000000000e+00 -1.240572120111001888e+06 9.392594256331456004e-02
-1.000000000000000000e+00 -1.240569545191868208e+06 9.362439533875638320e-02
0.000000000000000000e+00 -1.240563488010175060e+06 9.197178920238006927e-02
1.000000000000000000e+00 -1.240562689008094836e+06 9.363834149854524669e-02
2.000000000000000000e+00 -1.240563014555060072e+06 9.115774100551048142e-02
3.000000000000000000e+00 -1.240559866980748717e+06 9.209195091726957161e-02
4.000000000000000000e+00 -1.240559120325897355e+06 9.120150390464873413e-02
5.000000000000000000e+00 -1.240560544576463522e+06 9.107820672358525604e-02
6.000000000000000000e+00 -1.240561647275694413e+06 8.853967174665287876e-02
7.000000000000000000e+00 -1.240558908502809238e+06 8.669641624770646482e-02
8.000000000000000000e+00 -1.240560002254046965e+06 8.604032029389083180e-02
9.000000000000000000e+00 -1.240557747197179589e+06 8.596090911478367069e-02
1.000000000000000000e+01 -1.240549573998338776e+06 8.537900585254365460e-02
1.100000000000000000e+01 -1.240548695399611723e+06 8.258539736888549643e-02
1.200000000000000000e+01 -1.240546001232177019e+06 8.538455296420105478e-02
1.300000000000000000e+01 -1.240543565005346434e+06 8.269194489904352352e-02
1.400000000000000000e+01 -1.240544432089385577e+06 8.320500005800088306e-02
1.500000000000000000e+01 -1.240543395272959722e+06 8.263469507715372198e-02
1.600000000000000000e+01 -1.240538294727504021e+06 7.958615762544139771e-02
1.700000000000000000e+01 -1.240536836258008145e+06 8.366350618010538753e-02
1.800000000000000000e+01 -1.240535978981272317e+06 7.812893009942051270e-02
1.900000000000000000e+01 -1.240530809682725696e+06 8.183971602859343997e-02
2.000000000000000000e+01 -1.240530684616872342e+06 7.867449127572966050e-02
2.100000000000000000e+01 -1.240532379991124384e+06 7.915482012204842766e-02
2.200000000000000000e+01 -1.240532481743553188e+06 7.706640159198827056e-02
2.300000000000000000e+01 -1.240533419369156240e+06 7.188331733586580952e-02
2.400000000000000000e+01 -1.240531161901189946e+06 7.115138696481906888e-02
