# time log_evidence dlog_evidence
-9.000000000000000000e+00 -1.249583873548361007e+06 8.794102059047474718e-02
-8.000000000000000000e+00 -1.249587141644989373e+06 8.953113484400369859e-02
-7.000000000000000000e+00 -1.249588552340153605e+06 8.968590277764156016e-02
-6.000000000000000000e+00 -1.249589127166737802e+06 8.959131018282248671e-02
-5.000000000000000000e+00 -1.249589978327338351e+06 8.761997552674173628e-02
-4.000000000000000000e+00 -1.249589157091467408e+06 8.321772576703183322e-02
-3.000000000000000000e+00 -1.249587087775601540e+06 8.169323482939346015e-02
-2.000000000000000000e+00 -1.249583598650235916e+06 8.259168665909107088e-02
-1.000000000000000000e+00 -1.249582159530817531e+06 8.338024831599424869e-02
0.000000000000000000e+00 -1.249576434815849178e+06 8.439797947084490271e-02
1.000000000000000000e+00 -1.249576416777721839e+06 8.333255216390506037e-02
2.000000000000000000e+00 -1.249571613649501931e+06 8.341560677310326521e-02
3.000000000000000000e+00 -1.249570538107900647e+06 8.074929884181845929e-02
4.000000000000000000e+00 -1.249569234833246563e+06 8.060580582122747750e-02
5.000000000000000000e+00 -1.249569012270070380e+06 8.133514188414660284e-02
6.000000000000000000e+00 -1.249568878124347189e+06 8.145190370609244057e-02
7.000000000000000000e+00 -1.249568510990814306e+06 7.977795817397569100e-02
8.000000000000000000e+00 -1.249562330338001484e+06 8.082178963971752006e-02
9.000000000000000000e+00 -1.249562607262700330e+06 7.891445617854227212e-02
1.000000000000000000e+01 -1.249556600334477844e+06 8.001701546811620935e-02
1.100000000000000000e+01 -1.249556787479190389e+06 7.661452559182982402e-02
1.200000000000000000e+01 -1.249556507132814033e+06 7.576181785056562701e-02
1.300000000000000000e+01 -1.249550903498464264e+06 7.643197375735442944e-02
1.400000000000000000e+01 -1.249551056471375283e+06 7.664080610230121493e-02
1.500000000000000000e+01 -1.249551060084873810e+06 7.586012936477737334e-02
1.600000000000000000e+01 -1.249545932931108167e+06 7.413577509180596659e-02
1.700000000000000000e+01 -1.249545908204690786e+06 7.597401956345019303e-02
1.800000000000000000e+01 -1.249542264498219360e+06 7.315288375447009939e-02
1.900000000000000000e+01 -1.249540321570232511e+06 7.253803989824390841e-02
2.000000000000000000e+01 -1.249540990433683619e+06 7.260783704469804534e-02
2.100000000000000000e+01 -1.249541940774587216e+06 7.006420163643616028e-02
2.200000000000000000e+01 -1.249540604644301115e+06 6.844058041486718313e-02
2.300000000000000000e+01 -1.249542587527552154e+06 6.775521252833600905e-02
2.400000000000000000e+01 -1.249540678420160199e+06 6.335884928663616800e-02
