# time log_evidence dlog_evidence
00 -1249576.9615807864 0.09193340968372035
06 -1249570.2117284078 0.083432462238652
09 -1249563.747456184 0.0826549865800016
10 -1249557.7406596066 0.08309441632626938
11 -1249557.7808518163 0.08051055959162108
12 -1249557.381274809 0.0803245893145918
13 -1249551.1248563058 0.08157041722680428
14 -1249551.5522203106 0.0795586165043201
15 -1249551.7389466984 0.0785564305760779
16 -1249546.5870729461 0.07837804630862409
17 -1249545.9242770062 0.07818261340383147
18 -1249542.3601640777 0.07720703312515916
19 -1249540.4957404064 0.07830145013989576
20 -1249541.0969836528 0.07744904612699886
21 -1249542.2636043278 0.07599865138756647
22 -1249540.7738852222 0.07326383962850791
23 -1249542.7349219704 0.07182943352998002
24 -1249540.8738762436 0.06513870679485227
