# time                    log_evidence              dlog_evidence
0.000000000000000000e+00 -1.240563910791307222e+06 1.012954049365107773e-01
6.000000000000000000e+00 -1.240559255978759145e+06 9.569527589885462593e-02
9.000000000000000000e+00 -1.240555775624259608e+06 9.246691743499302341e-02
1.200000000000000000e+01 -1.240544288353431039e+06 9.012208411122961393e-02
1.300000000000000000e+01 -1.240542525689006085e+06 9.101524546576847396e-02
1.400000000000000000e+01 -1.240543118566429941e+06 8.914927636504293984e-02
1.500000000000000000e+01 -1.240542229156289715e+06 8.747454274086392811e-02
1.600000000000000000e+01 -1.240536366785590304e+06 8.670496165471135164e-02
1.700000000000000000e+01 -1.240534905778992223e+06 8.709543352838829133e-02
1.800000000000000000e+01 -1.240533935914250324e+06 8.675971691678968645e-02
1.900000000000000000e+01 -1.240529800367905525e+06 8.652457289549463082e-02
2.000000000000000000e+01 -1.240529740131365834e+06 8.510360134274913557e-02
2.100000000000000000e+01 -1.240531726776509080e+06 8.442559530789874034e-02
2.200000000000000000e+01 -1.240532073434075573e+06 8.702934940912519790e-02
2.300000000000000000e+01 -1.240533379085194087e+06 8.143706203830665402e-02
2.400000000000000000e+01 -1.240531325178148923e+06 7.750078597799515967e-02
