# time log_evidence dlog_evidence
-9.000000000000000000e+00 -1.249586611153043341e+06 5.902226405919940022e-02
-6.000000000000000000e+00 -1.249590827644608216e+06 5.882128251914611056e-02
-3.000000000000000000e+00 -1.249586896672691917e+06 5.797113797660105594e-02
0.000000000000000000e+00 -1.249577239583124174e+06 5.586433262465074351e-02
1.000000000000000000e+00 -1.249576983342398191e+06 5.592177967802512695e-02
2.000000000000000000e+00 -1.249571788899221458e+06 5.925629911394117433e-02
3.000000000000000000e+00 -1.249570501796061872e+06 5.863685433589855417e-02
4.000000000000000000e+00 -1.249569092224144610e+06 5.742115018014119776e-02
5.000000000000000000e+00 -1.249568737921193941e+06 5.954325629585936752e-02
6.000000000000000000e+00 -1.249568798050262732e+06 5.760250653223761286e-02
7.000000000000000000e+00 -1.249568231848982861e+06 5.801043927427340652e-02
8.000000000000000000e+00 -1.249562111398540437e+06 5.453891590424204960e-02
9.000000000000000000e+00 -1.249562405012089992e+06 5.452226441132290713e-02
1.000000000000000000e+01 -1.249556295905966079e+06 5.416868565062477048e-02
1.100000000000000000e+01 -1.249556683143746573e+06 5.229390253370814340e-02
1.200000000000000000e+01 -1.249556380593718262e+06 5.489865410828596165e-02
1.300000000000000000e+01 -1.249550615971624153e+06 5.323881651008450372e-02
1.400000000000000000e+01 -1.249550766435350059e+06 5.390876263462535123e-02
1.500000000000000000e+01 -1.249550987676442135e+06 5.304157059967709587e-02
1.600000000000000000e+01 -1.249545922865892295e+06 5.222706423256954361e-02
1.700000000000000000e+01 -1.249546000373569084e+06 5.130807162282999961e-02
1.800000000000000000e+01 -1.249542387427800568e+06 5.300665215102014216e-02
1.900000000000000000e+01 -1.249540399480631342e+06 5.160530146986399419e-02
2.000000000000000000e+01 -1.249541246746261837e+06 4.818514147295710481e-02
2.100000000000000000e+01 -1.249542075663206633e+06 4.580448336937151949e-02
2.200000000000000000e+01 -1.249540710145998746e+06 4.821007282126955895e-02
2.300000000000000000e+01 -1.249542627651449293e+06 4.577197335701274628e-02
2.400000000000000000e+01 -1.249540745688172756e+06 4.780309056737321732e-02
