# time log_evidence dlog_evidence
-9.000000000000000000e+00 -1.249586766993634170e+06 5.263219787459624821e-02
-8.000000000000000000e+00 -1.249590477937716758e+06 5.604144971458455832e-02
-7.000000000000000000e+00 -1.249592737871748395e+06 5.334756085132129344e-02
-6.000000000000000000e+00 -1.249592498189974809e+06 5.189692538374172243e-02
-5.000000000000000000e+00 -1.249593462521137204e+06 5.328868722382696516e-02
-4.000000000000000000e+00 -1.249593099625780480e+06 5.114245546584061247e-02
-3.000000000000000000e+00 -1.249590962939337594e+06 5.157199220570263254e-02
-2.000000000000000000e+00 -1.249587332961352775e+06 5.234180418369791671e-02
-1.000000000000000000e+00 -1.249585839567588177e+06 5.118091871054680081e-02
0.000000000000000000e+00 -1.249579893483607564e+06 5.426155905026108783e-02
1.000000000000000000e+00 -1.249579955768820131e+06 5.096388562309706743e-02
2.000000000000000000e+00 -1.249575799650212983e+06 5.444883273227117682e-02
3.000000000000000000e+00 -1.249575324251746293e+06 5.078637415577595682e-02
4.000000000000000000e+00 -1.249574225198755972e+06 4.851216536571911764e-02
5.000000000000000000e+00 -1.249573673363631824e+06 5.000281295208663240e-02
6.000000000000000000e+00 -1.249572806117252680e+06 4.715140056733810314e-02
7.000000000000000000e+00 -1.249572114424329018e+06 4.777339440080925065e-02
8.000000000000000000e+00 -1.249565835186547833e+06 5.199239739093013124e-02
9.000000000000000000e+00 -1.249565338885373902e+06 5.035710194066239653e-02
1.000000000000000000e+01 -1.249559205425037770e+06 5.091185066041608448e-02
1.100000000000000000e+01 -1.249559378497853875e+06 4.556416831118206140e-02
1.200000000000000000e+01 -1.249559103992905468e+06 4.723260870084721591e-02
1.300000000000000000e+01 -1.249551588345641503e+06 4.995033254809565226e-02
1.400000000000000000e+01 -1.249551673697516788e+06 4.813337969674669203e-02
1.500000000000000000e+01 -1.249551870727298083e+06 5.169532535242829518e-02
1.600000000000000000e+01 -1.249547438391069649e+06 4.886867080996589591e-02
1.700000000000000000e+01 -1.249547675348169636e+06 4.495342361474104209e-02
1.800000000000000000e+01 -1.249544768996376311e+06 4.567615763626908104e-02
1.900000000000000000e+01 -1.249541787874678150e+06 4.441086946658345802e-02
2.000000000000000000e+01 -1.249542128118706169e+06 4.623296816043944574e-02
2.100000000000000000e+01 -1.249542343427278334e+06 4.727959547868591100e-02
2.200000000000000000e+01 -1.249540900847198907e+06 4.144311158145388974e-02
2.300000000000000000e+01 -1.249542752699445700e+06 4.431353736031154456e-02
2.400000000000000000e+01 -1.249540223412930733e+06 3.922967568448004066e-02
