# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 3.867740215880529604e+02 4.633618336483630173e+01 3.234616415430980396e+01
-8.000000000000000000e+00 3.790819477149123031e+02 4.803055454544875147e+01 3.614652025960185711e+01
-7.000000000000000000e+00 3.664151843022739286e+02 4.740161385179305853e+01 4.121336897077435424e+01
-6.000000000000000000e+00 3.641774290843064819e+02 4.706280518690846293e+01 4.331733988394370272e+01
-5.000000000000000000e+00 3.565642048854139148e+02 4.462851138448650090e+01 4.954796491785566559e+01
-4.000000000000000000e+00 3.686395673192590721e+02 5.417089920605144471e+01 4.306103226015898144e+01
-3.000000000000000000e+00 3.673727974455567278e+02 5.309530524537171914e+01 3.988660007958441156e+01
-2.000000000000000000e+00 3.726653318814872478e+02 4.689671587359310934e+01 3.066914118562101521e+01
-1.000000000000000000e+00 3.651277064793048339e+02 4.528795730623824056e+01 3.169417041475651331e+01
0.000000000000000000e+00 3.550638413130736808e+02 4.257948372709847717e+01 3.310970923304660118e+01
1.000000000000000000e+00 3.517106001267480337e+02 4.243155826659437935e+01 3.422859799316120188e+01
2.000000000000000000e+00 3.465761677855924745e+02 4.140634107948699238e+01 3.564322720402628875e+01
3.000000000000000000e+00 3.428525579317215488e+02 4.238729235891014469e+01 3.687871166603287065e+01
4.000000000000000000e+00 3.349533839858028159e+02 4.210357529851205527e+01 3.944832233794056719e+01
5.000000000000000000e+00 3.397152393141484481e+02 4.253312534582806848e+01 3.603865842141459552e+01
6.000000000000000000e+00 3.356998797077972085e+02 4.233949448619790701e+01 3.312938162723423829e+01
7.000000000000000000e+00 3.322351327793591622e+02 4.384836536444072408e+01 3.428960107123998569e+01
8.000000000000000000e+00 3.278100234746005412e+02 4.476673461411525068e+01 3.541112604999858604e+01
9.000000000000000000e+00 3.220339920741815831e+02 4.523278735201370182e+01 3.676452241304355084e+01
1.000000000000000000e+01 3.147055364723550497e+02 5.128570273509916433e+01 4.131771154478224162e+01
1.100000000000000000e+01 3.156144036076657358e+02 5.002506529715412853e+01 4.015243231316060246e+01
1.200000000000000000e+01 3.152554860396887761e+02 5.073007798200336538e+01 4.054774439579756518e+01
1.300000000000000000e+01 3.029337136947814315e+02 5.061974571866440442e+01 4.162262677354715379e+01
1.400000000000000000e+01 2.969064284719505622e+02 5.120311163845391889e+01 4.408361667395348604e+01
1.500000000000000000e+01 2.915684571278681005e+02 5.279580078987774527e+01 4.633725354770029981e+01
1.600000000000000000e+01 2.899916749697952696e+02 5.730015277648507777e+01 4.936715020024342948e+01
1.700000000000000000e+01 2.975517152304244064e+02 5.824841979949724191e+01 4.924038077809336755e+01
1.800000000000000000e+01 2.927193030547330181e+02 5.940217198186687142e+01 4.916368825308762780e+01
1.900000000000000000e+01 2.896627884432771225e+02 5.685911142630604331e+01 4.848068637805204162e+01
2.000000000000000000e+01 2.842466403061273468e+02 5.745163583300768551e+01 5.084630252329526456e+01
2.100000000000000000e+01 2.654439636370379390e+02 6.785516831571032981e+01 5.772694337206189630e+01
2.200000000000000000e+01 2.564995108492900044e+02 7.308024882925749921e+01 6.549835480965242596e+01
2.300000000000000000e+01 2.525085255357497829e+02 8.134784360421357974e+01 7.634109685808417112e+01
2.400000000000000000e+01 2.776175719344022923e+02 8.413708483521259041e+01 7.530376777518193876e+01
