# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
-9.000000000000000000e+00 6.106430101397017296e+01 1.680551314402599417e+00 1.694965122105138278e+00
-8.000000000000000000e+00 6.165672412817058046e+01 1.638179272517405138e+00 1.549871957578034198e+00
-7.000000000000000000e+00 6.210845652415650875e+01 1.730166952586216667e+00 1.549379711587249631e+00
-6.000000000000000000e+00 6.330942469114792459e+01 1.712322096528971827e+00 1.447998668630546604e+00
-5.000000000000000000e+00 6.313402949271007003e+01 2.004557236909278117e+00 1.654507825297358181e+00
-4.000000000000000000e+00 6.376356235722321486e+01 2.160091989790103639e+00 1.787249880329802920e+00
-3.000000000000000000e+00 6.331707634984090305e+01 2.318476740441710149e+00 2.044888152772998069e+00
-2.000000000000000000e+00 6.313426216365557764e+01 2.186075616779859843e+00 2.043129960076242924e+00
-1.000000000000000000e+00 6.301967519260178818e+01 2.208916782530153000e+00 2.086846484636602383e+00
0.000000000000000000e+00 6.327809750133953060e+01 2.217377882697078917e+00 2.037328177800404205e+00
1.000000000000000000e+00 6.342974556525646079e+01 2.199122833511637509e+00 1.939090787431105412e+00
2.000000000000000000e+00 6.318332618991960459e+01 2.472308786669294989e+00 2.101825688929871205e+00
3.000000000000000000e+00 6.453549298364110598e+01 2.636518588789826367e+00 2.046477058966033269e+00
4.000000000000000000e+00 6.371159619986839573e+01 2.589204915078397562e+00 2.254947088396235699e+00
5.000000000000000000e+00 6.379512865852080949e+01 2.755041293316352835e+00 2.455327581283640370e+00
6.000000000000000000e+00 6.387493113545163226e+01 2.968060720544144715e+00 2.688387657718678270e+00
7.000000000000000000e+00 6.397463273999795774e+01 2.865460711468074351e+00 2.595960615958375683e+00
8.000000000000000000e+00 6.365484502133798372e+01 3.038912198366169548e+00 2.791044866710699068e+00
9.000000000000000000e+00 6.369494295063052647e+01 3.189778127225970650e+00 2.772951898226487799e+00
1.000000000000000000e+01 6.382770284642611358e+01 3.296621682156036570e+00 2.758044611493424725e+00
1.100000000000000000e+01 6.341463185128338864e+01 3.531714312938596834e+00 3.059274804810272030e+00
1.200000000000000000e+01 6.292749636827077353e+01 3.717501954910993334e+00 3.303681216182205560e+00
1.300000000000000000e+01 6.310149338449329548e+01 3.677810719726529953e+00 3.311437719769685373e+00
1.400000000000000000e+01 6.295244330342806904e+01 3.668712136467462415e+00 3.557275094768968415e+00
1.500000000000000000e+01 6.309945686115896990e+01 4.479934298577823881e+00 3.882320332440642119e+00
1.600000000000000000e+01 6.333266941149831553e+01 4.542181197253484015e+00 3.793137585802710987e+00
1.700000000000000000e+01 6.284759343812210375e+01 5.584181684930278777e+00 4.402209280454002283e+00
1.800000000000000000e+01 6.269059937048525910e+01 6.800523109034841696e+00 4.944357855066883189e+00
1.900000000000000000e+01 5.852930078104614608e+01 5.314380448122619782e+00 6.657339634781948234e+00
2.000000000000000000e+01 5.898450320590321638e+01 5.745874278743286823e+00 6.855265314590276660e+00
2.100000000000000000e+01 5.882479782259438394e+01 6.483310543427720063e+00 7.654838744435615183e+00
2.200000000000000000e+01 5.777574027108411769e+01 6.302681282424664744e+00 8.329680536766957744e+00
2.300000000000000000e+01 5.600838272052575206e+01 7.270505653170175719e+00 1.017063345966962373e+01
2.400000000000000000e+01 5.692167568313654158e+01 7.594280320100651238e+00 8.982955917662607703e+00
