# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 6.117376929021386189e+01 1.398655022565172601e+00 1.460031934710592338e+00
-8.000000000000000000e+00 6.274145816801581077e+01 1.780999907444389407e+00 1.798469596816687499e+00
-7.000000000000000000e+00 6.227683546403749659e+01 1.879057537594079008e+00 1.832928762701520498e+00
-6.000000000000000000e+00 6.204376761135159768e+01 3.061590664764601399e+00 2.247244870259223148e+00
-5.000000000000000000e+00 6.040319345500429193e+01 2.697569437586807339e+00 3.880717951841525348e+00
-4.000000000000000000e+00 5.951362067449896642e+01 1.741676475107389876e+00 1.948594224262663488e+00
-3.000000000000000000e+00 6.020869805790125895e+01 1.649191546194380464e+00 1.735127391188527213e+00
-2.000000000000000000e+00 6.075873437629585538e+01 1.579523674763073871e+00 1.504950224687895854e+00
-1.000000000000000000e+00 6.151929766245326192e+01 1.649358696668954849e+00 1.636740942148257716e+00
0.000000000000000000e+00 6.274226443514832852e+01 1.799170489569064557e+00 1.772370642398215068e+00
1.000000000000000000e+00 6.278822518060591307e+01 2.207932385326500935e+00 2.030103885546473919e+00
2.000000000000000000e+00 6.244898162064285430e+01 2.607407403246284616e+00 2.619919129973482086e+00
3.000000000000000000e+00 6.167302890098388701e+01 2.488512459873035709e+00 2.848770874392094754e+00
4.000000000000000000e+00 6.162125794149537228e+01 2.478646479450304696e+00 3.235192171999145216e+00
5.000000000000000000e+00 6.181745655512968085e+01 2.312512630065086228e+00 2.417327307759009614e+00
6.000000000000000000e+00 6.267684988611214436e+01 2.277506245643742488e+00 2.120957178648673391e+00
7.000000000000000000e+00 6.263446075799231494e+01 2.464804328842134851e+00 2.342675375251019432e+00
8.000000000000000000e+00 6.261858484491312282e+01 2.657847114433998570e+00 2.457791674595391385e+00
9.000000000000000000e+00 6.276010495285031965e+01 2.821614887733808530e+00 2.753022608293427709e+00
1.000000000000000000e+01 6.252411442466176794e+01 3.026611869288132084e+00 3.109445516815590338e+00
1.100000000000000000e+01 6.276024529749021497e+01 3.076916165536118797e+00 3.019813087985170341e+00
1.200000000000000000e+01 6.275350814813482714e+01 1.790377784447500176e+00 1.762457801410562297e+00
1.300000000000000000e+01 6.320637734535972641e+01 3.187149227313682331e+00 3.127907026006269575e+00
1.400000000000000000e+01 6.275087645542351567e+01 1.809644775039728870e+00 1.788198750089641464e+00
1.500000000000000000e+01 6.275562639750727811e+01 1.793939640252503409e+00 1.761834689694985912e+00
1.600000000000000000e+01 6.292374367091284171e+01 3.363786329870812608e+00 3.238867722818397965e+00
1.700000000000000000e+01 6.261032514449388486e+01 4.044245227386639385e+00 3.392419087195307270e+00
1.800000000000000000e+01 6.324560750410137899e+01 3.514614757500730491e+00 3.119630884071220578e+00
1.900000000000000000e+01 6.291058334370460869e+01 3.886700414838067275e+00 3.291566646089556514e+00
2.000000000000000000e+01 6.282256177160161315e+01 4.208157289759299147e+00 3.514597020322057119e+00
2.100000000000000000e+01 6.247902456989458386e+01 4.290190394824655584e+00 3.713260357333361128e+00
2.200000000000000000e+01 6.243490082708919431e+01 4.356971277413933308e+00 3.800141933691492113e+00
2.300000000000000000e+01 6.230324848493631151e+01 5.187150306321058224e+00 3.963181482815379297e+00
2.400000000000000000e+01 5.883281010327845451e+01 1.719726542271497749e+01 5.737564829312781001e+00
