# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 3.963140925972509194e+02 4.034002193644090539e+01 2.745647879823746962e+01
-8.000000000000000000e+00 3.884646168182285919e+02 4.743904444753269445e+01 3.144569999693715090e+01
-7.000000000000000000e+00 3.756579070685726833e+02 5.095541281065919748e+01 3.868331310590355088e+01
-6.000000000000000000e+00 3.796578340375826315e+02 5.368406415268748333e+01 3.876203743434012949e+01
-5.000000000000000000e+00 3.905954509872608469e+02 5.737948305472309585e+01 2.937732773457918256e+01
-4.000000000000000000e+00 3.877353686120383713e+02 3.255284870532909736e+01 2.426870126995299870e+01
-3.000000000000000000e+00 3.814247157024556145e+02 3.323986072087507182e+01 2.480363436186399895e+01
-2.000000000000000000e+00 3.745559407158563658e+02 3.233199988882688558e+01 2.503306547744631416e+01
-1.000000000000000000e+00 3.682789015536421857e+02 3.537044585789368512e+01 2.645505225478331113e+01
0.000000000000000000e+00 3.568755826980953998e+02 3.700868728360728710e+01 2.987129598892482818e+01
1.000000000000000000e+00 3.558597773232677355e+02 3.819270326299817953e+01 3.130771012145424947e+01
2.000000000000000000e+00 3.520362531316044397e+02 3.943781659319233768e+01 3.053146591310417080e+01
3.000000000000000000e+00 3.499092487706670909e+02 3.849456565361998628e+01 2.971233078031031027e+01
4.000000000000000000e+00 3.470946324653453416e+02 3.912643195529290097e+01 3.153148110033970397e+01
5.000000000000000000e+00 3.365278785007161559e+02 3.981887825848696139e+01 3.253181189922855765e+01
6.000000000000000000e+00 3.203454436850078650e+02 3.929478858739173575e+01 3.471250216467672089e+01
7.000000000000000000e+00 3.210604027591509748e+02 4.283551093364934559e+01 3.599964795660292793e+01
8.000000000000000000e+00 3.175037484796554281e+02 4.239433118391792732e+01 3.713983454564140629e+01
9.000000000000000000e+00 3.166257799660172623e+02 4.421354768623552900e+01 3.758930700790051560e+01
1.000000000000000000e+01 3.148837531720579364e+02 4.874873176226748228e+01 3.933645454888954873e+01
1.100000000000000000e+01 3.166983700871271026e+02 4.889522531069133038e+01 3.975822841330415258e+01
1.200000000000000000e+01 3.162329746759350542e+02 5.247027603055886402e+01 4.345782060735257346e+01
1.300000000000000000e+01 3.020879211123018422e+02 5.862704240817765822e+01 4.780780742724886068e+01
1.400000000000000000e+01 3.076385479902723432e+02 6.203586616056460912e+01 4.849099372828800369e+01
1.500000000000000000e+01 3.097664636671775611e+02 6.414248431093534464e+01 4.872831336391897139e+01
1.600000000000000000e+01 3.096081652924317495e+02 6.384228836165158327e+01 4.723777035637789368e+01
1.700000000000000000e+01 3.039781839510927739e+02 7.126364428407390506e+01 5.015147502207776142e+01
1.800000000000000000e+01 3.110698830322926938e+02 6.538680522996975242e+01 4.587183567772626702e+01
1.900000000000000000e+01 3.072128606638504493e+02 6.840813417421605891e+01 4.733929329773701511e+01
2.000000000000000000e+01 3.063011212077207119e+02 7.142300720043311912e+01 4.959033174298724589e+01
2.100000000000000000e+01 2.977037999819498282e+02 8.023476500431536351e+01 5.450888542283234983e+01
2.200000000000000000e+01 2.944014345475969776e+02 8.657367704566584621e+01 5.750545977016389543e+01
2.300000000000000000e+01 2.845710719083353410e+02 9.322110061989772589e+01 6.469858397113938508e+01
2.400000000000000000e+01 2.863146154532362289e+02 8.674870677477949243e+01 8.268454024006086911e+01
