# time median lower_90th_percentile upper_90th_percentile
0.000000000000000000e+00 6.224920957074280636e+01 1.890602449279285224e+00 1.684602476503300750e+00
6.000000000000000000e+00 6.247371573978610115e+01 2.189258215132092289e+00 2.279125573703339569e+00
9.000000000000000000e+00 6.285755066867714191e+01 2.622925119595052479e+00 2.497941376475644404e+00
1.000000000000000000e+01 6.293035645716933146e+01 3.229525683810003045e+00 2.916565107321439143e+00
1.100000000000000000e+01 6.304498163767081564e+01 3.364448527097515296e+00 3.060728165561272363e+00
1.200000000000000000e+01 6.308126477580713498e+01 3.222820957353583537e+00 3.139972785780308584e+00
1.300000000000000000e+01 6.288497369399551928e+01 3.309731928629993547e+00 3.045513348466130310e+00
1.400000000000000000e+01 6.278305923825244861e+01 3.456824289052860877e+00 3.005590172805540305e+00
1.500000000000000000e+01 6.336859233843912875e+01 3.114219231080326722e+00 2.942613617161171646e+00
1.600000000000000000e+01 6.269026286703580553e+01 3.686520813543303632e+00 3.099627310034755112e+00
1.700000000000000000e+01 6.274238741192501578e+01 3.449046066142493316e+00 3.001927565753867100e+00
1.800000000000000000e+01 6.284026826763438578e+01 3.548763623707870352e+00 3.026661285208575691e+00
1.900000000000000000e+01 6.296009391182758463e+01 3.462992473899412005e+00 2.889061998383354535e+00
2.000000000000000000e+01 6.283622522680259692e+01 4.459604771656174194e+00 3.060935010488549324e+00
2.100000000000000000e+01 6.259329047985000471e+01 1.703442572394902044e+01 3.309843526887156884e+00
2.200000000000000000e+01 6.250275122824926655e+01 2.003860971325807583e+01 3.823647452221337062e+00
2.300000000000000000e+01 6.196112529047749717e+01 1.877254265234547859e+01 4.108484808723915194e+00
2.400000000000000000e+01 5.878269014717073304e+01 2.693683843696647529e+01 6.207533406746300386e+00
