# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
0.000000000000000000e+00 3.624037492287821465e+02 3.493337668255020390e+01 2.806826680865975732e+01
6.000000000000000000e+00 3.258253756763307365e+02 4.225588471441619731e+01 3.516134738854952957e+01
9.000000000000000000e+00 3.253269751363280307e+02 4.450931926507166736e+01 3.659463241946042444e+01
1.000000000000000000e+01 3.175467090736830755e+02 4.937342465597890850e+01 4.056966778280360586e+01
1.100000000000000000e+01 3.265565089531991134e+02 5.032280469776344489e+01 4.011707316400332957e+01
1.200000000000000000e+01 3.189321277422036474e+02 4.789629685714118068e+01 4.104008555107270695e+01
1.300000000000000000e+01 3.045064438745411053e+02 5.371953937950453906e+01 4.996249961401144901e+01
1.400000000000000000e+01 3.175244139497777383e+02 5.704751291142639502e+01 4.508919491457453432e+01
1.500000000000000000e+01 3.073047736811419099e+02 5.900532383182928697e+01 4.557588542083749417e+01
1.600000000000000000e+01 3.043068585304938551e+02 6.734303109342448579e+01 5.425339290241350909e+01
1.700000000000000000e+01 3.016117422146018043e+02 6.490963500173845091e+01 5.118292970534599817e+01
1.800000000000000000e+01 2.975650678996303213e+02 7.333152654734669795e+01 5.148635763509901153e+01
1.900000000000000000e+01 3.154763328470185115e+02 6.606840344962972722e+01 4.785886758075452008e+01
2.000000000000000000e+01 3.115643682736637743e+02 7.454292128693941777e+01 5.188951434593519707e+01
2.100000000000000000e+01 3.012393799243241119e+02 8.016489074280920590e+01 6.065525912957946275e+01
2.200000000000000000e+01 3.028385936961051357e+02 8.856404147366521329e+01 6.400800401701695819e+01
2.300000000000000000e+01 2.969947084168650235e+02 9.032229213682001046e+01 7.655358259998251924e+01
2.400000000000000000e+01 3.009011060098127928e+02 9.875078765437336870e+01 9.820137154426788584e+01
