# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
0.000000000000000000e+00 6.237682248058451506e+01 1.873394207114088772e+00 1.722007589157463769e+00
6.000000000000000000e+00 6.269850040671849456e+01 2.139794546288875665e+00 2.278768485326565951e+00
9.000000000000000000e+00 6.303369981017107193e+01 2.787734047815277449e+00 2.434783013326509149e+00
1.200000000000000000e+01 6.285570953731875221e+01 3.123053653636098659e+00 2.927390844044744256e+00
1.300000000000000000e+01 6.294427486955657258e+01 3.917266650447508880e+00 2.904971884981058849e+00
1.400000000000000000e+01 6.277950891639297737e+01 3.686373878243847457e+01 3.091580063338533080e+00
1.500000000000000000e+01 6.341936885446226313e+01 7.069617345135370101e+00 3.059604030256409146e+00
1.600000000000000000e+01 6.279288012994373247e+01 3.827650035645945081e+00 2.909035231471982286e+00
1.700000000000000000e+01 6.297883176870119826e+01 3.639533288419116275e+00 3.141132753446456150e+00
1.800000000000000000e+01 6.301778804197673622e+01 4.050214410690664124e+00 3.225889304390996415e+00
1.900000000000000000e+01 6.277279412158078742e+01 1.758970156968303655e+01 2.908977593434968867e+00
2.000000000000000000e+01 6.285598359085575026e+01 1.836709367150846361e+01 3.085859084633916893e+00
2.100000000000000000e+01 6.244989938815420061e+01 1.911927694829468294e+01 3.399211573828203825e+00
2.200000000000000000e+01 6.313547920851513595e+01 1.939476876503123037e+01 3.590100690776480974e+00
2.300000000000000000e+01 6.215173785982523214e+01 2.391215445406254503e+01 3.819299295603613587e+00
2.400000000000000000e+01 5.848113175317341472e+01 3.367439994648037782e+01 6.446814607327752356e+00
