# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
0.000000000000000000e+00 3.610939573031623127e+02 3.356854020976237507e+01 2.626210410857822808e+01
6.000000000000000000e+00 3.235858831587195255e+02 4.202500869815753504e+01 3.575878647641252428e+01
9.000000000000000000e+00 3.230262378590168169e+02 4.160649963758731928e+01 4.078348649613292309e+01
1.200000000000000000e+01 3.193590652139458257e+02 4.954551977984664290e+01 4.357044585319414409e+01
1.300000000000000000e+01 3.152633530636381920e+02 5.890470225106287216e+01 4.874475233812444230e+01
1.400000000000000000e+01 3.230414574262044880e+02 6.801960059347180731e+01 8.608834913160023916e+01
1.500000000000000000e+01 3.040602188492759410e+02 5.910202615723426334e+01 6.042556302485718334e+01
1.600000000000000000e+01 3.090747295986700465e+02 6.708837871474025860e+01 5.109201278816112790e+01
1.700000000000000000e+01 2.948556641046284881e+02 6.238514543504174981e+01 5.183843715146150544e+01
1.800000000000000000e+01 2.851319568490858956e+02 7.398350952609504816e+01 5.877049183408553290e+01
1.900000000000000000e+01 3.191678354494261498e+02 7.436076651312481545e+01 5.333053214892993310e+01
2.000000000000000000e+01 3.098377307827564096e+02 7.724388168970443758e+01 5.813430039700199359e+01
2.100000000000000000e+01 3.030501622420019885e+02 6.911927267609110004e+01 6.043140529887085677e+01
2.200000000000000000e+01 3.064615988664237420e+02 8.511618520589709647e+01 6.426481574365999450e+01
2.300000000000000000e+01 3.045996257436325436e+02 9.712653166705939611e+01 9.929426045440709458e+01
2.400000000000000000e+01 3.026888787259388209e+02 9.752999435355326341e+01 1.293737884975557790e+02
