# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
0.000000000000000000e+00 6.206536495300342438e+01 1.640602494999697569e+00 1.439115029018971370e+00
6.000000000000000000e+00 6.236998446303780952e+01 1.883556676792487394e+00 1.753225466254889398e+00
9.000000000000000000e+00 6.280508136979632638e+01 2.436377954187520345e+00 2.241235934817098041e+00
1.000000000000000000e+01 6.236594363467467161e+01 2.730420768515422481e+00 2.414286636231175009e+00
1.100000000000000000e+01 6.245480099559189568e+01 2.662761105052638300e+00 2.543258804503707893e+00
1.200000000000000000e+01 6.228971966007263461e+01 2.794332474829211321e+00 2.514520796221191290e+00
1.300000000000000000e+01 6.249873269186585389e+01 2.546865018436086814e+00 2.429415264441985300e+00
1.400000000000000000e+01 6.232820378877115530e+01 2.863813910603809632e+00 2.540917075269298664e+00
1.500000000000000000e+01 6.294721740429699963e+01 2.851424627848196280e+00 2.619294976934831709e+00
1.600000000000000000e+01 6.247230255565337131e+01 3.023621060805268712e+00 2.741605994708692151e+00
1.700000000000000000e+01 6.239615106110948517e+01 3.332285065332932561e+00 2.804535850875844005e+00
1.800000000000000000e+01 6.229940834107967618e+01 3.181493542362417770e+00 2.739579743111683285e+00
1.900000000000000000e+01 6.270764398254604544e+01 3.073369775853663555e+00 2.778816529654349665e+00
2.000000000000000000e+01 6.249523549647733489e+01 3.573307389186375360e+00 2.909142793364281943e+00
2.100000000000000000e+01 6.222147655311909631e+01 4.293227319747742854e+00 3.048018561651325342e+00
2.200000000000000000e+01 6.220087802207705607e+01 1.794538930065339599e+01 3.207014205804192386e+00
2.300000000000000000e+01 6.175388417961408294e+01 1.784299868065930639e+01 3.534930358548955098e+00
2.400000000000000000e+01 5.737097276261754786e+01 2.536888603231574280e+01 6.517792184338553341e+00
