# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
0.000000000000000000e+00 3.723405370831021060e+02 2.553203235552649630e+01 2.190612853435584384e+01
6.000000000000000000e+00 3.308481170146393993e+02 3.823029778571986981e+01 3.486831115614774035e+01
9.000000000000000000e+00 3.313573315601299214e+02 4.353280415625368960e+01 3.442153050900765265e+01
1.000000000000000000e+01 3.280888216707480751e+02 4.815568752515957840e+01 3.747293702231047519e+01
1.100000000000000000e+01 3.293733654116383605e+02 4.979026327571784805e+01 3.717448823533879931e+01
1.200000000000000000e+01 3.277856027345567327e+02 5.535950052432201574e+01 3.927799266834199443e+01
1.300000000000000000e+01 3.153530812265325949e+02 5.480465164363579333e+01 4.283384017170493507e+01
1.400000000000000000e+01 3.142673850304611847e+02 5.999216110328308105e+01 4.624073691331585678e+01
1.500000000000000000e+01 3.101560278614195454e+02 6.405532116991807356e+01 4.690050866233400484e+01
1.600000000000000000e+01 3.043543554554835282e+02 6.213488931353046496e+01 5.079856439491726405e+01
1.700000000000000000e+01 2.999111442267279699e+02 7.065283308116056560e+01 5.061993560363742972e+01
1.800000000000000000e+01 3.009010173967074593e+02 7.433505401208580565e+01 5.317543919899759430e+01
1.900000000000000000e+01 3.159144628869775033e+02 7.427630079168056909e+01 4.960132804022214259e+01
2.000000000000000000e+01 3.053854187690666322e+02 8.671240341124087081e+01 5.425751972737299411e+01
2.100000000000000000e+01 2.944784639892965288e+02 8.321395936828253070e+01 5.883493432623396302e+01
2.200000000000000000e+01 2.998041670194024846e+02 8.556251257459732074e+01 5.644487497461153680e+01
2.300000000000000000e+01 2.949812131429344504e+02 8.909526683173254469e+01 7.326385586163831931e+01
2.400000000000000000e+01 2.936530275204311238e+02 9.052090826821623182e+01 1.101128189850772969e+02
