# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 6.045198240271135859e+01 1.454801329309631797e+00 1.133970316128902311e+00
-6.000000000000000000e+00 5.891623213708522400e+01 1.764007274278412751e+00 1.946840801090218065e+00
-3.000000000000000000e+00 5.994574250451801589e+01 1.430181477504390841e+00 1.276063674319800612e+00
0.000000000000000000e+00 6.228438573086057772e+01 1.594765670938507185e+00 1.443085576434107509e+00
1.000000000000000000e+00 6.187847142611950346e+01 1.992172197770891273e+00 1.782316498937895233e+00
2.000000000000000000e+00 6.139117167678738696e+01 2.027164835641585228e+00 1.949268918332286660e+00
3.000000000000000000e+00 6.106189744259553009e+01 1.908358917054755466e+00 1.840991401362138902e+00
4.000000000000000000e+00 6.104935250089994980e+01 1.923154480919322395e+00 1.785420401147341352e+00
5.000000000000000000e+00 6.158811015391413690e+01 1.817491720047613057e+00 1.699498543305217879e+00
6.000000000000000000e+00 6.261546345031274541e+01 1.793826497080651450e+00 1.649511402250993797e+00
7.000000000000000000e+00 6.259191379099651442e+01 2.080521122453390603e+00 1.857075920806465774e+00
8.000000000000000000e+00 6.247356658887959213e+01 2.345303280239967592e+00 2.108992722004842335e+00
9.000000000000000000e+00 6.250812070140051446e+01 2.506720954701705750e+00 2.324951334185485052e+00
1.000000000000000000e+01 6.218881097606504937e+01 2.631960251028139908e+00 2.497707025878320053e+00
1.100000000000000000e+01 6.238505316709600379e+01 2.639262339996008677e+00 2.562649436807035386e+00
1.200000000000000000e+01 6.237784418267180797e+01 2.594665794253963043e+00 2.495848601892774354e+00
1.300000000000000000e+01 6.297558324619731707e+01 2.615307826348903575e+00 2.506476918867292625e+00
1.400000000000000000e+01 6.277281350981247954e+01 2.718588701446321920e+00 2.623270649409590760e+00
1.500000000000000000e+01 6.269311972232332408e+01 2.768411554794163010e+00 2.734568714411118151e+00
1.600000000000000000e+01 6.249643558466451054e+01 3.060631389535274138e+00 2.827918986755364017e+00
1.700000000000000000e+01 6.198649015848870647e+01 3.813697661329165101e+00 2.934181930686548867e+00
1.800000000000000000e+01 6.295385380949171861e+01 3.213449112600784474e+00 2.844954576216863984e+00
1.900000000000000000e+01 6.249217782808552357e+01 3.645630667089811539e+00 3.039151629992140613e+00
2.000000000000000000e+01 6.225178163061266901e+01 3.899164091172380608e+00 3.187610556173481768e+00
2.100000000000000000e+01 6.195294841880417636e+01 3.827167943851172538e+00 3.343990183307120390e+00
2.200000000000000000e+01 6.191576339654330496e+01 3.819936483561406249e+00 3.311785308993229648e+00
2.300000000000000000e+01 6.196255714745224452e+01 4.367955540012602000e+00 3.496902213783769753e+00
2.400000000000000000e+01 5.850952878347105468e+01 1.611888881687213626e+01 5.236770701604321232e+00
