# time                    median_final_mass        lower_90th_percentile    upper_90th_percentile
-9.000000000000000000e+00 4.157055105031982976e+02 2.073584009512865123e+01 1.858190484781221130e+01
-6.000000000000000000e+00 4.083856079878900118e+02 2.355686415883928930e+01 2.040608576818954134e+01
-3.000000000000000000e+00 3.857660864129586571e+02 2.550493014990706797e+01 2.283438585912847429e+01
0.000000000000000000e+00 3.746466570016446553e+02 2.547943939060741059e+01 2.189361373565759550e+01
1.000000000000000000e+00 3.741366391295335916e+02 2.569310118461817183e+01 2.237574017889545530e+01
2.000000000000000000e+00 3.724972472935317569e+02 2.584736374913489954e+01 2.260580267775929997e+01
3.000000000000000000e+00 3.579395472928491131e+02 3.038624236017227531e+01 2.516166516957974864e+01
4.000000000000000000e+00 3.571554348421960299e+02 3.187999201617327572e+01 2.705133377736518696e+01
5.000000000000000000e+00 3.459650367626442176e+02 3.275035366895087918e+01 2.895804701149012317e+01
6.000000000000000000e+00 3.323287264684059892e+02 3.512744084279995604e+01 3.036063281540572234e+01
7.000000000000000000e+00 3.323684917002797192e+02 3.676027708807396266e+01 3.244420966344773660e+01
8.000000000000000000e+00 3.293415019871383151e+02 3.768501581339978657e+01 3.199593333165876174e+01
9.000000000000000000e+00 3.306115705856808518e+02 3.765185124547554096e+01 3.199246246520874593e+01
1.000000000000000000e+01 3.283633713453262430e+02 4.105722851974167042e+01 3.332916821292610621e+01
1.100000000000000000e+01 3.293029149499780033e+02 4.477534889540766017e+01 3.547616657214115321e+01
1.200000000000000000e+01 3.264548553528796901e+02 4.966318429716659466e+01 3.752078236027614366e+01
1.300000000000000000e+01 3.174618182768818428e+02 5.438091029837312362e+01 4.175061438048544460e+01
1.500000000000000000e+01 3.126136213455760071e+02 6.509523087018490628e+01 4.773412080253098111e+01
1.600000000000000000e+01 3.090299327258363746e+02 7.024139813900995932e+01 4.947388524308792057e+01
1.700000000000000000e+01 3.085751618843712549e+02 7.480870848662110006e+01 4.987128301243706119e+01
1.800000000000000000e+01 3.089099651097260448e+02 7.563682167220972019e+01 4.727479675960131544e+01
1.900000000000000000e+01 3.171791662615794394e+02 6.967022638503647158e+01 4.445417164132749122e+01
2.000000000000000000e+01 3.116778812479124099e+02 7.559610882787023911e+01 4.707916289097147455e+01
2.100000000000000000e+01 2.997818017476874388e+02 7.979105337062085823e+01 5.126488519533069166e+01
2.200000000000000000e+01 2.972322210565879459e+02 8.671109346151416730e+01 5.488184796081390004e+01
2.300000000000000000e+01 2.895468881549342086e+02 9.136740005225368577e+01 5.889551679354781299e+01
2.400000000000000000e+01 2.899801799494188117e+02 8.554418763141046611e+01 7.295883344296004225e+01
