# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 6.015404603410568996e+01 1.492739110221869225e+00 1.295480992872157344e+00
-8.000000000000000000e+00 6.020778542690479185e+01 1.665888184484408896e+00 1.452484754984546100e+00
-7.000000000000000000e+00 6.008181324006115176e+01 1.859692405711825813e+00 1.651817315845448775e+00
-6.000000000000000000e+00 5.957570141067485281e+01 1.806153375564548469e+00 1.819230764817611146e+00
-5.000000000000000000e+00 5.916979600865887079e+01 1.620768975991055072e+00 1.753689285602881398e+00
-4.000000000000000000e+00 5.922423568011961947e+01 1.518171856891832761e+00 1.566383364452669014e+00
-3.000000000000000000e+00 5.966897236967888318e+01 1.507080772439444161e+00 1.507755172220257123e+00
-2.000000000000000000e+00 6.018606564372479539e+01 1.514415773014349043e+00 1.477990935008151041e+00
-1.000000000000000000e+00 6.082276378195346211e+01 1.561007356424404691e+00 1.476324953609513102e+00
0.000000000000000000e+00 6.179565496332313046e+01 1.614075679056718116e+00 1.498051106891317374e+00
1.000000000000000000e+00 6.188216870616228960e+01 1.788238928851647813e+00 1.669761567989425544e+00
2.000000000000000000e+00 6.185256105531414050e+01 2.011616182482150350e+00 1.882797667557646548e+00
3.000000000000000000e+00 6.175238068925091994e+01 2.151182169041973680e+00 2.060701753967045136e+00
4.000000000000000000e+00 6.163484381482368235e+01 2.153023302844907505e+00 2.174527069086757081e+00
5.000000000000000000e+00 6.153956861389556821e+01 1.967539257790456020e+00 1.949905391934009913e+00
6.000000000000000000e+00 6.201108853981589419e+01 1.822558151379993774e+00 1.754940929718401321e+00
7.000000000000000000e+00 6.228053371185530551e+01 1.883303526747390322e+00 1.811774699610317896e+00
8.000000000000000000e+00 6.258019383106367428e+01 1.973363099151193012e+00 1.857531733288404041e+00
9.000000000000000000e+00 6.329030521167283041e+01 2.167470673924228208e+00 1.908713362740030561e+00
1.000000000000000000e+01 6.379326728333206376e+01 2.400779174249962011e+00 2.120969693366483000e+00
1.100000000000000000e+01 6.418974757979155754e+01 2.599249740565724665e+00 2.197695502374372722e+00
1.200000000000000000e+01 6.391029718846301222e+01 2.731348921112449091e+00 2.390468393610682085e+00
1.300000000000000000e+01 6.369811104390815615e+01 2.512168225088096563e+00 2.375252325392267494e+00
1.400000000000000000e+01 6.377744565420217526e+01 2.457698583871135156e+00 2.349125763966462443e+00
1.500000000000000000e+01 6.405723006408524611e+01 2.447082854049156708e+00 2.347307671436311693e+00
1.600000000000000000e+01 6.442806306331894461e+01 2.639593827140650717e+00 2.512324517062424434e+00
1.700000000000000000e+01 6.367432241291960793e+01 3.302956514691047119e+00 2.856119098335355488e+00
1.800000000000000000e+01 6.477415620600581292e+01 3.387730296616034309e+00 3.120099316481173446e+00
1.900000000000000000e+01 6.324455916668679833e+01 3.993129122973158474e+00 3.497669285155581065e+00
2.000000000000000000e+01 6.234342447857342506e+01 4.048041496369492620e+00 3.704462581698948043e+00
2.100000000000000000e+01 6.203967589780393865e+01 3.822385415212409043e+00 3.771673548615943616e+00
2.200000000000000000e+01 6.210955832060898985e+01 3.876532672045463812e+00 3.758499214760639973e+00
2.300000000000000000e+01 6.201956542108214876e+01 4.416862587143945973e+00 4.286208067884004436e+00
2.400000000000000000e+01 5.845413137361124001e+01 5.845192434842168439e+00 5.231306082110471323e+00
