# time median lower_90th_percentile upper_90th_percentile
-9.000000000000000000e+00 4.137323073338275208e+02 2.271499429777696832e+01 2.111409550682441250e+01
-8.000000000000000000e+00 4.138540358003622259e+02 2.299122088834957367e+01 2.088303281068647266e+01
-7.000000000000000000e+00 4.141707517798373601e+02 2.287051082147951320e+01 2.097903623607368218e+01
-6.000000000000000000e+00 4.116174670267199645e+02 2.381009483130117133e+01 2.148110217166714619e+01
-5.000000000000000000e+00 4.073679459053911955e+02 2.510956376886525732e+01 2.281358318967949117e+01
-4.000000000000000000e+00 3.986751587372359040e+02 2.633393471948170372e+01 2.358532085496682384e+01
-3.000000000000000000e+00 3.922580317548194557e+02 2.760450083678563260e+01 2.394208715201574478e+01
-2.000000000000000000e+00 3.845951657226185034e+02 2.819893374237852868e+01 2.509021349031326054e+01
-1.000000000000000000e+00 3.802245175259959638e+02 2.833905588650048912e+01 2.495035851184917419e+01
0.000000000000000000e+00 3.750552755653426971e+02 2.818314720681274821e+01 2.467908567935120345e+01
1.000000000000000000e+00 3.749698862811189315e+02 2.804391642101217030e+01 2.470486023960125976e+01
2.000000000000000000e+00 3.724524036949840138e+02 2.820602569596997000e+01 2.517429620336645257e+01
3.000000000000000000e+00 3.722474794815972245e+02 2.937350700324998343e+01 2.564122770614784486e+01
4.000000000000000000e+00 3.721122725266574776e+02 3.039062167574644491e+01 2.605508226396983673e+01
5.000000000000000000e+00 3.613553086747648422e+02 3.281961797873998421e+01 2.830836003820223823e+01
6.000000000000000000e+00 3.470416345752627194e+02 3.555950547474265022e+01 3.021720902992052515e+01
7.000000000000000000e+00 3.439720630616504309e+02 3.668479170871574979e+01 3.158716945556096789e+01
8.000000000000000000e+00 3.391282905813702655e+02 3.776921550059716992e+01 3.212111137485391055e+01
9.000000000000000000e+00 3.368068344172682487e+02 3.810163353960371069e+01 3.230818399178662048e+01
1.000000000000000000e+01 3.373481436118398165e+02 3.957929083447123730e+01 3.331560748027419550e+01
1.100000000000000000e+01 3.384230969950122585e+02 3.922872550093711652e+01 3.241951286369913987e+01
1.200000000000000000e+01 3.376871768910972946e+02 4.058810661455368063e+01 3.348095821774819569e+01
1.300000000000000000e+01 3.185074794878572675e+02 4.477989768620710720e+01 3.705503062279456117e+01
1.400000000000000000e+01 3.110008083398428766e+02 4.839797280600436125e+01 4.079097767576337219e+01
1.500000000000000000e+01 3.038681409775278439e+02 5.475611104602313617e+01 4.445282665007295009e+01
1.600000000000000000e+01 3.010485444547666702e+02 6.056060845309625051e+01 4.734954092014152138e+01
1.700000000000000000e+01 3.078959507191723333e+02 5.933840728297627720e+01 4.673845336948681961e+01
1.800000000000000000e+01 3.034715563098318398e+02 6.408280286274325022e+01 4.808105309825367613e+01
1.900000000000000000e+01 2.993111791227265712e+02 6.121199788333876768e+01 4.800686231480312927e+01
2.000000000000000000e+01 2.904675125134281188e+02 6.117162709997552383e+01 5.177542999277829949e+01
2.100000000000000000e+01 2.702938951237405263e+02 6.876674396923769450e+01 5.874968649669443721e+01
2.200000000000000000e+01 2.615823996157850502e+02 7.599432730740821285e+01 6.716064557657063006e+01
2.300000000000000000e+01 2.553792692977984018e+02 8.398067545886112839e+01 7.669762070710478952e+01
2.400000000000000000e+01 2.814645831854151083e+02 8.512791993134456447e+01 7.752275647198797515e+01
